timestamp,symbol,timeframe,threshold,avg_ms,p90_ms,med_ms,min_ms,max_ms,count
2026-01-07T21:02:40.923Z,btc,15m,0.99,9,9,9,9,9,1
2026-01-07T21:02:40.923Z,btc,15m,0.995,9,9,9,9,9,1
2026-01-07T21:02:40.923Z,eth,15m,0.98,11,0,11,0,21,2
2026-01-07T21:02:40.923Z,eth,15m,0.985,11,0,11,0,21,2
2026-01-07T21:02:40.923Z,eth,15m,0.99,8,2,2,0,21,3
2026-01-07T21:02:40.923Z,eth,15m,0.995,8,2,2,0,21,3
2026-01-07T21:02:40.923Z,xrp,15m,0.98,9,9,9,9,9,1
2026-01-07T21:02:40.923Z,xrp,15m,0.985,9,9,9,9,9,1
2026-01-07T21:02:40.923Z,xrp,15m,0.99,35,9,35,9,60,2
2026-01-07T21:02:40.923Z,xrp,15m,0.995,35,9,35,9,60,2
2026-01-07T21:03:40.922Z,btc,15m,0.99,9,9,9,9,9,1
2026-01-07T21:03:40.922Z,btc,15m,0.995,9,9,9,9,9,1
2026-01-07T21:03:40.922Z,eth,15m,0.98,11,0,11,0,21,2
2026-01-07T21:03:40.922Z,eth,15m,0.985,11,0,11,0,21,2
2026-01-07T21:03:40.922Z,eth,15m,0.99,16,21,14,0,42,6
2026-01-07T21:03:40.922Z,eth,15m,0.995,16,21,14,0,42,6
2026-01-07T21:03:40.922Z,xrp,15m,0.98,19,9,19,9,28,2
2026-01-07T21:03:40.922Z,xrp,15m,0.985,19,9,19,9,28,2
2026-01-07T21:03:40.922Z,xrp,15m,0.99,26,50,20,0,60,6
2026-01-07T21:03:40.922Z,xrp,15m,0.995,26,50,20,0,60,6
2026-01-07T21:03:40.922Z,sol,15m,0.98,16,16,16,16,16,1
2026-01-07T21:03:40.922Z,sol,15m,0.985,16,16,16,16,16,1
2026-01-07T21:03:40.922Z,sol,15m,0.99,8,0,8,0,16,2
2026-01-07T21:03:40.922Z,sol,15m,0.995,8,0,8,0,16,2
2026-01-07T21:04:40.922Z,btc,15m,0.99,9,9,9,9,9,1
2026-01-07T21:04:40.922Z,btc,15m,0.995,9,9,9,9,9,1
2026-01-07T21:04:40.922Z,eth,15m,0.98,21,21,18,0,47,4
2026-01-07T21:04:40.922Z,eth,15m,0.985,21,21,18,0,47,4
2026-01-07T21:04:40.922Z,eth,15m,0.99,18,42,14,0,47,9
2026-01-07T21:04:40.922Z,eth,15m,0.995,18,42,14,0,47,9
2026-01-07T21:04:40.922Z,xrp,15m,0.98,25,28,19,1,62,4
2026-01-07T21:04:40.922Z,xrp,15m,0.985,25,28,19,1,62,4
2026-01-07T21:04:40.922Z,xrp,15m,0.99,24,50,20,0,62,12
2026-01-07T21:04:40.922Z,xrp,15m,0.995,24,50,20,0,62,12
2026-01-07T21:04:40.922Z,sol,15m,0.98,16,16,16,16,16,1
2026-01-07T21:04:40.922Z,sol,15m,0.985,16,16,16,16,16,1
2026-01-07T21:04:40.922Z,sol,15m,0.99,11,16,16,0,17,3
2026-01-07T21:04:40.922Z,sol,15m,0.995,11,16,16,0,17,3
2026-01-07T21:05:40.922Z,btc,15m,0.99,9,8,9,8,9,2
2026-01-07T21:05:40.922Z,btc,15m,0.995,9,8,9,8,9,2
2026-01-07T21:05:40.922Z,eth,15m,0.98,21,21,18,0,47,4
2026-01-07T21:05:40.922Z,eth,15m,0.985,21,21,18,0,47,4
2026-01-07T21:05:40.922Z,eth,15m,0.99,18,42,14,0,47,9
2026-01-07T21:05:40.922Z,eth,15m,0.995,18,42,14,0,47,9
2026-01-07T21:05:40.922Z,xrp,15m,0.98,28,57,21,1,62,6
2026-01-07T21:05:40.922Z,xrp,15m,0.985,28,57,21,1,62,6
2026-01-07T21:05:40.922Z,xrp,15m,0.99,23,57,12,0,62,16
2026-01-07T21:05:40.922Z,xrp,15m,0.995,23,57,12,0,62,16
2026-01-07T21:05:40.922Z,sol,15m,0.98,16,16,16,16,16,1
2026-01-07T21:05:40.922Z,sol,15m,0.985,16,16,16,16,16,1
2026-01-07T21:05:40.922Z,sol,15m,0.99,25,17,17,0,65,4
2026-01-07T21:05:40.922Z,sol,15m,0.995,25,17,17,0,65,4
2026-01-07T21:06:40.922Z,btc,15m,0.99,9,8,9,8,9,2
2026-01-07T21:06:40.922Z,btc,15m,0.995,9,8,9,8,9,2
2026-01-07T21:06:40.922Z,eth,15m,0.98,21,21,18,0,47,4
2026-01-07T21:06:40.922Z,eth,15m,0.985,21,21,18,0,47,4
2026-01-07T21:06:40.922Z,eth,15m,0.99,20,42,15,0,47,10
2026-01-07T21:06:40.922Z,eth,15m,0.995,20,42,15,0,47,10
2026-01-07T21:06:40.922Z,xrp,15m,0.98,28,57,21,1,62,6
2026-01-07T21:06:40.922Z,xrp,15m,0.985,28,57,21,1,62,6
2026-01-07T21:06:40.922Z,xrp,15m,0.99,22,57,11,0,62,17
2026-01-07T21:06:40.922Z,xrp,15m,0.995,22,57,11,0,62,17
2026-01-07T21:06:40.922Z,sol,15m,0.98,10,4,10,4,16,2
2026-01-07T21:06:40.922Z,sol,15m,0.985,10,4,10,4,16,2
2026-01-07T21:06:40.922Z,sol,15m,0.99,18,17,10,0,65,6
2026-01-07T21:06:40.922Z,sol,15m,0.995,18,17,10,0,65,6
2026-01-07T21:07:40.925Z,btc,15m,0.99,9,8,9,8,9,2
2026-01-07T21:07:40.925Z,btc,15m,0.995,9,8,9,8,9,2
2026-01-07T21:07:40.925Z,eth,15m,0.98,15,21,13,0,47,8
2026-01-07T21:07:40.925Z,eth,15m,0.985,15,21,13,0,47,8
2026-01-07T21:07:40.925Z,eth,15m,0.99,16,37,14,0,47,14
