timestamp,threshold,avg_ms,p90_ms,med_ms,rolling_p90_ms,min_ms,max_ms,count
2026-01-07T21:02:40.922Z,0.98,10,9,9,9,0,21,3
2026-01-07T21:02:40.922Z,0.985,10,9,9,9,0,21,3
2026-01-07T21:02:40.922Z,0.99,17,21,9,21,0,60,6
2026-01-07T21:02:40.922Z,0.995,17,21,9,21,0,60,6
2026-01-07T21:03:40.921Z,0.98,15,21,16,21,0,28,5
2026-01-07T21:03:40.921Z,0.985,15,21,16,21,0,28,5
2026-01-07T21:03:40.921Z,0.99,18,42,14,42,0,60,15
2026-01-07T21:03:40.921Z,0.995,18,42,14,42,0,60,15
2026-01-07T21:04:40.922Z,0.98,22,47,16,47,0,62,9
2026-01-07T21:04:40.922Z,0.985,22,47,16,47,0,62,9
2026-01-07T21:04:40.922Z,0.99,20,47,14,47,0,62,25
2026-01-07T21:04:40.922Z,0.995,20,47,14,47,0,62,25
2026-01-07T21:05:40.922Z,0.98,24,57,16,57,0,62,11
2026-01-07T21:05:40.922Z,0.985,24,57,16,57,0,62,11
2026-01-07T21:05:40.922Z,0.99,21,57,14,57,0,65,31
2026-01-07T21:05:40.922Z,0.995,21,57,14,57,0,65,31
2026-01-07T21:06:40.922Z,0.98,23,47,16,47,0,62,12
2026-01-07T21:06:40.922Z,0.985,23,47,16,47,0,62,12
2026-01-07T21:06:40.922Z,0.99,20,50,13,50,0,65,35
2026-01-07T21:06:40.922Z,0.995,20,50,13,50,0,65,35
2026-01-07T21:07:40.924Z,0.98,19,47,14,47,0,62,17
2026-01-07T21:07:40.924Z,0.985,19,47,14,47,0,62,17
2026-01-07T21:07:40.924Z,0.99,18,50,12,50,0,65,40
2026-01-07T21:07:40.924Z,0.995,18,50,12,50,0,65,40
2026-01-07T21:08:40.922Z,0.95,21,21,21,21,21,21,1
2026-01-07T21:08:40.922Z,0.98,17,31,13,31,0,62,23
2026-01-07T21:08:40.922Z,0.985,17,31,13,31,0,62,23
2026-01-07T21:08:40.922Z,0.99,19,50,13,50,0,77,51
2026-01-07T21:08:40.922Z,0.995,19,50,13,50,0,77,51
2026-01-07T21:09:40.923Z,0.95,21,21,21,21,21,21,1
2026-01-07T21:09:40.923Z,0.98,18,33,14,33,0,62,24
2026-01-07T21:09:40.923Z,0.985,18,33,14,33,0,62,24
2026-01-07T21:09:40.923Z,0.99,20,48,14,48,0,77,53
2026-01-07T21:09:40.923Z,0.995,20,48,14,48,0,77,53
2026-01-07T21:10:40.923Z,0.95,31,21,31,21,21,41,2
2026-01-07T21:10:40.923Z,0.98,20,47,14,47,0,62,26
2026-01-07T21:10:40.923Z,0.985,20,47,14,47,0,62,26
2026-01-07T21:10:40.923Z,0.99,21,50,14,50,0,77,57
2026-01-07T21:10:40.923Z,0.995,21,50,14,50,0,77,57
2026-01-07T21:11:40.924Z,0.95,31,21,31,21,21,41,2
2026-01-07T21:11:40.924Z,0.98,19,47,14,47,0,62,28
2026-01-07T21:11:40.924Z,0.985,19,47,14,47,0,62,28
2026-01-07T21:11:40.924Z,0.99,21,48,14,48,0,77,65
2026-01-07T21:11:40.924Z,0.995,21,48,14,48,0,77,65
2026-01-07T21:12:40.925Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:12:40.925Z,0.95,29,24,24,24,21,41,3
2026-01-07T21:12:40.925Z,0.98,19,41,14,41,0,62,33
2026-01-07T21:12:40.925Z,0.985,19,41,14,41,0,62,33
2026-01-07T21:12:40.925Z,0.99,21,48,14,48,0,77,73
2026-01-07T21:12:40.925Z,0.995,21,48,14,48,0,77,73
2026-01-07T21:13:40.926Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:13:40.926Z,0.95,29,24,24,24,21,41,3
2026-01-07T21:13:40.926Z,0.98,21,47,15,47,0,71,34
2026-01-07T21:13:40.926Z,0.985,21,47,15,47,0,71,34
2026-01-07T21:13:40.926Z,0.99,21,50,14,50,0,77,76
2026-01-07T21:13:40.926Z,0.995,21,50,14,50,0,77,76
2026-01-07T21:14:40.927Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:14:40.927Z,0.95,29,24,24,24,21,41,3
2026-01-07T21:14:40.927Z,0.98,21,47,15,47,0,71,34
2026-01-07T21:14:40.927Z,0.985,21,47,15,47,0,71,34
2026-01-07T21:14:40.927Z,0.99,21,50,14,50,0,77,77
2026-01-07T21:14:40.927Z,0.995,21,50,14,50,0,77,77
2026-01-07T21:15:40.927Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:15:40.927Z,0.95,29,24,24,24,21,41,3
2026-01-07T21:15:40.927Z,0.98,20,47,14,47,0,71,37
2026-01-07T21:15:40.927Z,0.985,20,47,14,47,0,71,37
2026-01-07T21:15:40.927Z,0.99,21,48,14,48,0,77,82
2026-01-07T21:15:40.927Z,0.995,27,50,14,50,0,552,83
2026-01-07T21:16:40.928Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:16:40.928Z,0.95,29,24,24,24,21,41,3
2026-01-07T21:16:40.928Z,0.98,20,47,14,47,0,71,37
2026-01-07T21:16:40.928Z,0.985,20,47,14,47,0,71,37
2026-01-07T21:16:40.928Z,0.99,21,48,14,48,0,77,86
2026-01-07T21:16:40.928Z,0.995,27,50,14,50,0,552,87
2026-01-07T21:17:40.928Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:17:40.928Z,0.95,29,24,24,24,21,41,3
2026-01-07T21:17:40.928Z,0.98,20,47,14,47,0,71,38
2026-01-07T21:17:40.928Z,0.985,20,47,14,47,0,71,38
2026-01-07T21:17:40.928Z,0.99,20,48,14,48,0,77,90
2026-01-07T21:17:40.928Z,0.995,26,50,14,50,0,552,91
2026-01-07T21:18:40.928Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:18:40.928Z,0.95,29,24,24,24,21,41,3
2026-01-07T21:18:40.928Z,0.98,22,54,15,54,0,71,44
2026-01-07T21:18:40.928Z,0.985,22,54,15,54,0,71,44
2026-01-07T21:18:40.928Z,0.99,20,50,14,50,0,77,105
2026-01-07T21:18:40.928Z,0.995,25,54,14,54,0,552,106
2026-01-07T21:19:40.928Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:19:40.928Z,0.95,29,24,24,24,21,41,3
2026-01-07T21:19:40.928Z,0.98,22,54,15,54,0,71,50
2026-01-07T21:19:40.928Z,0.985,22,54,15,54,0,71,50
2026-01-07T21:19:40.928Z,0.99,20,48,14,48,0,77,115
2026-01-07T21:19:40.928Z,0.995,25,50,14,50,0,552,116
2026-01-07T21:20:40.928Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:20:40.928Z,0.95,29,24,24,24,21,41,3
2026-01-07T21:20:40.928Z,0.98,22,54,15,54,0,71,51
2026-01-07T21:20:40.928Z,0.985,22,54,15,54,0,71,51
2026-01-07T21:20:40.928Z,0.99,20,48,14,48,0,77,118
2026-01-07T21:20:40.928Z,0.995,25,50,14,50,0,552,119
2026-01-07T21:21:40.929Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:21:40.929Z,0.95,29,24,24,24,21,41,3
2026-01-07T21:21:40.929Z,0.98,23,48,17,48,0,71,55
2026-01-07T21:21:40.929Z,0.985,23,48,17,48,0,71,55
2026-01-07T21:21:40.929Z,0.99,20,48,15,48,0,77,126
2026-01-07T21:21:40.929Z,0.995,25,48,15,48,0,552,127
2026-01-07T21:22:40.929Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:22:40.929Z,0.95,29,24,24,24,21,41,3
2026-01-07T21:22:40.929Z,0.98,23,48,19,48,0,71,56
2026-01-07T21:22:40.929Z,0.985,23,48,19,48,0,71,56
2026-01-07T21:22:40.929Z,0.99,20,48,15,48,0,77,130
2026-01-07T21:22:40.929Z,0.995,24,48,15,48,0,552,131
2026-01-07T21:23:40.927Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:23:40.927Z,0.95,29,24,24,24,21,41,3
2026-01-07T21:23:40.927Z,0.98,22,48,17,48,0,71,59
2026-01-07T21:23:40.927Z,0.985,22,48,17,48,0,71,59
2026-01-07T21:23:40.927Z,0.99,20,47,14,47,0,77,136
2026-01-07T21:23:40.927Z,0.995,24,48,14,48,0,552,137
2026-01-07T21:24:40.927Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:24:40.927Z,0.95,22,24,23,24,2,41,4
2026-01-07T21:24:40.927Z,0.98,22,47,17,47,0,71,62
2026-01-07T21:24:40.927Z,0.985,22,47,17,47,0,71,62
2026-01-07T21:24:40.927Z,0.99,19,46,14,46,0,77,143
2026-01-07T21:24:40.927Z,0.995,23,47,14,47,0,552,144
2026-01-07T21:25:40.927Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:25:40.927Z,0.95,22,24,23,24,2,41,4
2026-01-07T21:25:40.927Z,0.98,22,48,17,48,0,71,66
2026-01-07T21:25:40.927Z,0.985,22,48,17,48,0,71,66
2026-01-07T21:25:40.927Z,0.99,19,46,14,46,0,77,156
2026-01-07T21:25:40.927Z,0.995,23,47,14,47,0,552,157
2026-01-07T21:26:40.928Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:26:40.928Z,0.95,22,24,23,24,2,41,4
2026-01-07T21:26:40.928Z,0.98,22,48,17,48,0,71,66
2026-01-07T21:26:40.928Z,0.985,22,48,17,48,0,71,66
2026-01-07T21:26:40.928Z,0.99,23,48,14,48,0,647,159
2026-01-07T21:26:40.928Z,0.995,27,48,14,48,0,647,160
2026-01-07T21:27:40.928Z,0.9,24,24,24,24,24,24,1
2026-01-07T21:27:40.928Z,0.95,22,24,23,24,2,41,4
2026-01-07T21:27:40.928Z,0.98,22,48,16,48,0,71,69
2026-01-07T21:27:40.928Z,0.985,22,48,16,48,0,71,69
2026-01-07T21:27:40.928Z,0.99,23,47,13,47,0,647,167
2026-01-07T21:27:40.928Z,0.995,26,48,14,48,0,647,168
2026-01-07T21:28:40.928Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:28:40.928Z,0.95,16,29,13,29,2,41,9
2026-01-07T21:28:40.928Z,0.98,21,47,17,47,0,71,76
2026-01-07T21:28:40.928Z,0.985,21,47,17,47,0,71,76
2026-01-07T21:28:40.928Z,0.99,22,45,13,45,0,647,183
2026-01-07T21:28:40.928Z,0.995,25,46,13,46,0,647,184
2026-01-07T21:29:40.929Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:29:40.929Z,0.95,19,30,18,30,2,41,12
2026-01-07T21:29:40.929Z,0.98,22,45,17,45,0,71,83
2026-01-07T21:29:40.929Z,0.985,22,45,17,45,0,71,83
2026-01-07T21:29:40.929Z,0.99,22,45,14,45,0,647,193
2026-01-07T21:29:40.929Z,0.995,25,45,14,45,0,647,194
2026-01-07T21:30:40.930Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:30:40.930Z,0.95,19,30,18,30,2,41,12
2026-01-07T21:30:40.930Z,0.98,21,45,16,45,0,71,86
2026-01-07T21:30:40.930Z,0.985,21,45,16,45,0,71,86
2026-01-07T21:30:40.930Z,0.99,21,45,13,45,0,647,200
2026-01-07T21:30:40.930Z,0.995,24,45,13,45,0,647,201
2026-01-07T21:31:40.931Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:31:40.931Z,0.95,17,30,14,30,0,41,13
2026-01-07T21:31:40.931Z,0.98,20,45,15,45,0,71,92
2026-01-07T21:31:40.931Z,0.985,20,45,15,45,0,71,92
2026-01-07T21:31:40.931Z,0.99,21,45,13,45,0,647,208
2026-01-07T21:31:40.931Z,0.995,24,45,13,45,0,647,209
2026-01-07T21:32:40.932Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:32:40.932Z,0.95,17,30,14,30,0,41,13
2026-01-07T21:32:40.932Z,0.98,21,45,15,45,0,71,95
2026-01-07T21:32:40.932Z,0.985,21,45,15,45,0,71,95
2026-01-07T21:32:40.932Z,0.99,23,45,13,45,0,647,214
2026-01-07T21:32:40.932Z,0.995,26,46,13,46,0,647,215
2026-01-07T21:33:40.933Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:33:40.933Z,0.95,17,30,14,30,0,41,13
2026-01-07T21:33:40.933Z,0.98,20,45,15,45,0,71,96
2026-01-07T21:33:40.933Z,0.985,20,45,15,45,0,71,96
2026-01-07T21:33:40.933Z,0.99,23,47,13,47,0,647,220
2026-01-07T21:33:40.933Z,0.995,26,48,13,48,0,647,221
2026-01-07T21:34:40.933Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:34:40.933Z,0.95,17,30,14,30,0,41,13
2026-01-07T21:34:40.933Z,0.98,20,45,15,45,0,71,96
2026-01-07T21:34:40.933Z,0.985,20,45,15,45,0,71,96
2026-01-07T21:34:40.933Z,0.99,23,46,13,46,0,647,223
2026-01-07T21:34:40.933Z,0.995,26,47,13,47,0,647,224
2026-01-07T21:35:40.934Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:35:40.934Z,0.95,17,30,14,30,0,41,13
2026-01-07T21:35:40.934Z,0.98,20,45,15,45,0,71,98
2026-01-07T21:35:40.934Z,0.985,20,45,15,45,0,71,98
2026-01-07T21:35:40.934Z,0.99,23,46,13,46,0,647,227
2026-01-07T21:35:40.934Z,0.995,25,47,13,47,0,647,228
2026-01-07T21:36:40.935Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:36:40.935Z,0.95,17,30,14,30,0,41,14
2026-01-07T21:36:40.935Z,0.98,21,45,15,45,0,92,103
2026-01-07T21:36:40.935Z,0.985,21,45,15,45,0,92,103
2026-01-07T21:36:40.935Z,0.99,23,46,13,46,0,647,235
2026-01-07T21:36:40.935Z,0.995,25,47,13,47,0,647,236
2026-01-07T21:37:40.937Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:37:40.937Z,0.95,17,30,14,30,0,41,14
2026-01-07T21:37:40.937Z,0.98,21,45,14,45,0,92,105
2026-01-07T21:37:40.937Z,0.985,21,45,14,45,0,92,105
2026-01-07T21:37:40.937Z,0.99,23,45,13,45,0,647,244
2026-01-07T21:37:40.937Z,0.995,25,46,13,46,0,647,245
2026-01-07T21:38:40.938Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:38:40.938Z,0.95,17,30,14,30,0,41,14
2026-01-07T21:38:40.938Z,0.98,21,47,15,47,0,92,108
2026-01-07T21:38:40.938Z,0.985,21,47,15,47,0,92,108
2026-01-07T21:38:40.938Z,0.99,23,46,13,46,0,647,248
2026-01-07T21:38:40.938Z,0.995,25,47,13,47,0,647,249
2026-01-07T21:39:40.941Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:39:40.941Z,0.95,17,30,14,30,0,41,14
2026-01-07T21:39:40.941Z,0.98,21,47,15,47,0,92,109
2026-01-07T21:39:40.941Z,0.985,21,47,15,47,0,92,109
2026-01-07T21:39:40.941Z,0.99,25,46,13,46,0,647,254
2026-01-07T21:39:40.941Z,0.995,27,47,13,47,0,647,255
2026-01-07T21:40:40.942Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:40:40.942Z,0.95,16,30,13,30,0,41,15
2026-01-07T21:40:40.942Z,0.98,21,45,15,45,0,92,113
2026-01-07T21:40:40.942Z,0.985,21,45,15,45,0,92,113
2026-01-07T21:40:40.942Z,0.99,24,45,13,45,0,647,265
2026-01-07T21:40:40.942Z,0.995,26,46,13,46,0,647,266
2026-01-07T21:41:40.942Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:41:40.942Z,0.95,16,30,13,30,0,41,15
2026-01-07T21:41:40.942Z,0.98,21,47,15,47,0,92,115
2026-01-07T21:41:40.942Z,0.985,21,47,15,47,0,92,115
2026-01-07T21:41:40.942Z,0.99,25,46,14,46,0,647,275
2026-01-07T21:41:40.942Z,0.995,27,47,14,47,0,647,276
2026-01-07T21:42:40.943Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:42:40.943Z,0.95,17,34,14,34,0,41,16
2026-01-07T21:42:40.943Z,0.98,22,47,16,47,0,92,118
2026-01-07T21:42:40.943Z,0.985,22,47,16,47,0,92,118
2026-01-07T21:42:40.943Z,0.99,25,46,14,46,0,647,279
2026-01-07T21:42:40.943Z,0.995,27,47,14,47,0,647,280
2026-01-07T21:43:40.945Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:43:40.945Z,0.95,16,34,14,34,0,41,18
2026-01-07T21:43:40.945Z,0.98,21,47,15,47,0,92,125
2026-01-07T21:43:40.945Z,0.985,21,47,15,47,0,92,126
2026-01-07T21:43:40.945Z,0.99,25,45,13,45,0,647,294
2026-01-07T21:43:40.945Z,0.995,26,46,13,46,0,647,295
2026-01-07T21:44:40.947Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:44:40.947Z,0.95,16,34,14,34,0,41,18
2026-01-07T21:44:40.947Z,0.98,21,47,15,47,0,92,125
2026-01-07T21:44:40.947Z,0.985,21,47,15,47,0,92,126
2026-01-07T21:44:40.947Z,0.99,24,46,13,46,0,647,299
2026-01-07T21:44:40.947Z,0.995,26,47,13,47,0,647,300
2026-01-07T21:45:40.948Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:45:40.948Z,0.95,16,34,14,34,0,41,18
2026-01-07T21:45:40.948Z,0.98,21,47,15,47,0,92,125
2026-01-07T21:45:40.948Z,0.985,21,47,15,47,0,92,126
2026-01-07T21:45:40.948Z,0.99,24,45,13,45,0,647,302
2026-01-07T21:45:40.948Z,0.995,27,47,13,47,0,647,304
2026-01-07T21:46:40.948Z,0.9,19,24,24,24,4,29,3
2026-01-07T21:46:40.948Z,0.95,16,34,14,34,0,41,18
2026-01-07T21:46:40.948Z,0.98,21,47,15,47,0,92,127
2026-01-07T21:46:40.948Z,0.985,21,47,15,47,0,92,128
2026-01-07T21:46:40.948Z,0.99,24,46,13,46,0,647,305
