timestamp,row_type,symbol,timeframe,samples,hits_le_0.9,hits_le_0.95,hits_le_0.98,hits_le_0.985,hits_le_0.99,hits_le_0.995,avg_yes_le_0.9,avg_no_le_0.9,avg_yes_le_0.95,avg_no_le_0.95,avg_yes_le_0.98,avg_no_le_0.98,avg_yes_le_0.985,avg_no_le_0.985,avg_yes_le_0.99,avg_no_le_0.99,avg_yes_le_0.995,avg_no_le_0.995
2026-01-04T15:51:51.297Z,all,,,1813,0,1,9,9,19,19,,,0.7000,0.2500,0.5300,0.4444,0.5300,0.4444,0.5863,0.3963,0.5863,0.3963
2026-01-04T15:51:51.297Z,symbol,btc,15m,1121,0,0,1,1,8,8,,,,,0.6300,0.3500,0.6300,0.3500,0.7063,0.2825,0.7063,0.2825
2026-01-04T15:51:51.297Z,symbol,eth,15m,504,0,0,3,3,5,5,,,,,0.5667,0.4133,0.5667,0.4133,0.5360,0.4480,0.5360,0.4480
2026-01-04T15:51:51.297Z,symbol,xrp,15m,75,0,1,2,2,2,2,,,0.7000,0.2500,0.7650,0.2000,0.7650,0.2000,0.7650,0.2000,0.7650,0.2000
2026-01-04T15:51:51.297Z,symbol,sol,15m,113,0,0,3,3,4,4,,,,,0.3033,0.6700,0.3033,0.6700,0.3200,0.6575,0.3200,0.6575
2026-01-04T15:52:51.295Z,all,,,3642,0,1,14,14,31,31,,,0.7000,0.2500,0.5707,0.4036,0.5707,0.4036,0.6535,0.3294,0.6535,0.3294
2026-01-04T15:52:51.295Z,symbol,btc,15m,2213,0,0,1,1,11,11,,,,,0.6300,0.3500,0.6300,0.3500,0.7673,0.2218,0.7673,0.2218
2026-01-04T15:52:51.295Z,symbol,eth,15m,998,0,0,6,6,11,11,,,,,0.6533,0.3267,0.6533,0.3267,0.6445,0.3400,0.6445,0.3400
2026-01-04T15:52:51.295Z,symbol,xrp,15m,176,0,1,2,2,3,3,,,0.7000,0.2500,0.7650,0.2000,0.7650,0.2000,0.8167,0.1567,0.8167,0.1567
2026-01-04T15:52:51.295Z,symbol,sol,15m,255,0,0,5,5,6,6,,,,,0.3820,0.5880,0.3820,0.5880,0.3800,0.5933,0.3800,0.5933
2026-01-04T15:53:51.296Z,all,,,4772,0,1,18,18,40,40,,,0.7000,0.2500,0.6017,0.3739,0.6017,0.3739,0.6675,0.3160,0.6675,0.3160
2026-01-04T15:53:51.296Z,symbol,btc,15m,2873,0,0,1,1,11,11,,,,,0.6300,0.3500,0.6300,0.3500,0.7673,0.2218,0.7673,0.2218
2026-01-04T15:53:51.296Z,symbol,eth,15m,1290,0,0,9,9,18,18,,,,,0.6911,0.2889,0.6911,0.2889,0.6939,0.2911,0.6939,0.2911
2026-01-04T15:53:51.296Z,symbol,xrp,15m,224,0,1,2,2,3,3,,,0.7000,0.2500,0.7650,0.2000,0.7650,0.2000,0.8167,0.1567,0.8167,0.1567
2026-01-04T15:53:51.296Z,symbol,sol,15m,385,0,0,6,6,8,8,,,,,0.4083,0.5633,0.4083,0.5633,0.4150,0.5613,0.4150,0.5613
2026-01-04T15:54:51.297Z,all,,,5525,0,1,18,18,43,43,,,0.7000,0.2500,0.6017,0.3739,0.6017,0.3739,0.6633,0.3207,0.6633,0.3207
2026-01-04T15:54:51.297Z,symbol,btc,15m,3293,0,0,1,1,11,11,,,,,0.6300,0.3500,0.6300,0.3500,0.7673,0.2218,0.7673,0.2218
2026-01-04T15:54:51.297Z,symbol,eth,15m,1482,0,0,9,9,19,19,,,,,0.6911,0.2889,0.6911,0.2889,0.6968,0.2884,0.6968,0.2884
2026-01-04T15:54:51.297Z,symbol,xrp,15m,278,0,1,2,2,3,3,,,0.7000,0.2500,0.7650,0.2000,0.7650,0.2000,0.8167,0.1567,0.8167,0.1567
2026-01-04T15:54:51.297Z,symbol,sol,15m,472,0,0,6,6,10,10,,,,,0.4083,0.5633,0.4083,0.5633,0.4390,0.5400,0.4390,0.5400
2026-01-04T15:55:51.299Z,all,,,6542,0,1,21,21,49,49,,,0.7000,0.2500,0.6076,0.3676,0.6076,0.3676,0.6661,0.3176,0.6661,0.3176
2026-01-04T15:55:51.299Z,symbol,btc,15m,3763,0,0,1,1,11,11,,,,,0.6300,0.3500,0.6300,0.3500,0.7673,0.2218,0.7673,0.2218
2026-01-04T15:55:51.299Z,symbol,eth,15m,1835,0,0,11,11,24,24,,,,,0.6945,0.2845,0.6945,0.2845,0.7021,0.2829,0.7021,0.2829
2026-01-04T15:55:51.299Z,symbol,xrp,15m,398,0,1,2,2,3,3,,,0.7000,0.2500,0.7650,0.2000,0.7650,0.2000,0.8167,0.1567,0.8167,0.1567
2026-01-04T15:55:51.299Z,symbol,sol,15m,546,0,0,7,7,11,11,,,,,0.4229,0.5486,0.4229,0.5486,0.4455,0.5327,0.4455,0.5327
2026-01-04T15:56:51.300Z,all,,,7308,0,1,24,24,56,56,,,0.7000,0.2500,0.6113,0.3646,0.6113,0.3646,0.6773,0.3066,0.6773,0.3066
2026-01-04T15:56:51.300Z,symbol,btc,15m,4037,0,0,1,1,11,11,,,,,0.6300,0.3500,0.6300,0.3500,0.7673,0.2218,0.7673,0.2218
2026-01-04T15:56:51.300Z,symbol,eth,15m,2175,0,0,12,12,28,28,,,,,0.7050,0.2742,0.7050,0.2742,0.7204,0.2650,0.7204,0.2650
2026-01-04T15:56:51.300Z,symbol,xrp,15m,502,0,1,2,2,4,4,,,0.7000,0.2500,0.7650,0.2000,0.7650,0.2000,0.8325,0.1450,0.8325,0.1450
2026-01-04T15:56:51.300Z,symbol,sol,15m,594,0,0,9,9,13,13,,,,,0.4500,0.5233,0.4500,0.5233,0.4608,0.5177,0.4608,0.5177
2026-01-04T15:57:51.298Z,all,,,8143,0,1,24,24,59,59,,,0.7000,0.2500,0.6113,0.3646,0.6113,0.3646,0.6827,0.3015,0.6827,0.3015
2026-01-04T15:57:51.298Z,symbol,btc,15m,4140,0,0,1,1,11,11,,,,,0.6300,0.3500,0.6300,0.3500,0.7673,0.2218,0.7673,0.2218
2026-01-04T15:57:51.298Z,symbol,eth,15m,2653,0,0,12,12,29,29,,,,,0.7050,0.2742,0.7050,0.2742,0.7272,0.2583,0.7272,0.2583
2026-01-04T15:57:51.298Z,symbol,xrp,15m,634,0,1,2,2,5,5,,,0.7000,0.2500,0.7650,0.2000,0.7650,0.2000,0.8460,0.1340,0.8460,0.1340
2026-01-04T15:57:51.298Z,symbol,sol,15m,716,0,0,9,9,14,14,,,,,0.4500,0.5233,0.4500,0.5233,0.4657,0.5136,0.4657,0.5136
2026-01-04T15:58:51.299Z,all,,,8898,0,1,25,25,66,66,,,0.7000,0.2500,0.6248,0.3512,0.6248,0.3512,0.7097,0.2750,0.7097,0.2750
2026-01-04T15:58:51.299Z,symbol,btc,15m,4249,0,0,1,1,11,11,,,,,0.6300,0.3500,0.6300,0.3500,0.7673,0.2218,0.7673,0.2218
2026-01-04T15:58:51.299Z,symbol,eth,15m,2900,0,0,12,12,31,31,,,,,0.7050,0.2742,0.7050,0.2742,0.7410,0.2448,0.7410,0.2448
2026-01-04T15:58:51.299Z,symbol,xrp,15m,717,0,1,2,2,6,6,,,0.7000,0.2500,0.7650,0.2000,0.7650,0.2000,0.8517,0.1300,0.8517,0.1300
2026-01-04T15:58:51.299Z,symbol,sol,15m,1032,0,0,10,10,18,18,,,,,0.5000,0.4740,0.5000,0.4740,0.5733,0.4078,0.5733,0.4078
